country,ddate,railway_transit,car_transit,phone_subscribers,internet_users,mortality_under_five,per_capita_health_expenditure,total_health_expenditure,population,urban_population,crude_birth_rate,life_expect_female,life_expect_male,life_expectancy,population_0_14_percent,population_15_64_percent,population_65_plus_percent,gdp,gdp_per_capita
Afghanistan,7/1/2000,0.00,,0.00,,151.00,11.00,8.00,25950816.00,5527524.00,51.00,45.00,45.00,45.00,48.00,50.00,2.00,,
Afghanistan,7/1/2001,0.00,,0.00,0.00,150.00,11.00,9.00,26697430.00,5771984.00,50.00,46.00,45.00,46.00,48.00,50.00,2.00,2461666315.00,92.00
